date,indexation,maturity,value
Oct 2005,real,10,3.3241666667
Oct 2005,nominal,10,NA
Oct 2005,real,1,2.8176923077
Nov 2005,nominal,1,NA
Nov 2005,real,10,NA
Nov 2005,nominal,10,NA
Nov 2005,real,1,2.7645454545
Dec 2005,nominal,1,NA
Dec 2005,real,10,NA
Dec 2005,nominal,10,NA
Dec 2005,real,1,3.4471428571
Jan 2006,nominal,1,5.4160869565
Jan 2006,real,10,NA
Jan 2006,nominal,10,NA
Jan 2006,real,1,3.2930434783
Feb 2006,nominal,1,5.6945
Feb 2006,real,10,NA
Feb 2006,nominal,10,6.4613333333
Feb 2006,real,1,3.313
Mar 2006,nominal,1,5.795
Mar 2006,real,10,NA
Mar 2006,nominal,10,6.5275
Mar 2006,real,1,3.607
Apr 2006,nominal,1,5.87
Apr 2006,real,10,NA
Apr 2006,nominal,10,6.5805882353
Apr 2006,real,1,3.7617647059
May 2006,nominal,1,5.8833333333
May 2006,real,10,NA
May 2006,nominal,10,6.4880952381
May 2006,real,1,3.79
Jun 2006,nominal,1,5.825
Jun 2006,real,10,NA
Jun 2006,nominal,10,6.503
Jun 2006,real,1,3.8055
Jul 2006,nominal,1,5.8645454545
Jul 2006,real,10,NA
Jul 2006,nominal,10,6.5154545455
Jul 2006,real,1,3.9422727273
Aug 2006,nominal,1,5.905
Aug 2006,real,10,NA
Aug 2006,nominal,10,6.42
Aug 2006,real,1,3.9318181818
Sep 2006,nominal,1,5.8478947368
Sep 2006,real,10,NA
Sep 2006,nominal,10,NA
Sep 2006,real,1,3.7636842105
Oct 2006,nominal,1,5.3552380952
Oct 2006,real,10,NA
Oct 2006,nominal,10,NA
Oct 2006,real,1,3.700952381
Nov 2006,nominal,1,5.2040909091
Nov 2006,real,10,NA
Nov 2006,nominal,10,NA
Nov 2006,real,1,3.5577272727
Dec 2006,nominal,1,5.09
Dec 2006,real,10,NA
Dec 2006,nominal,10,NA
Dec 2006,real,1,3.9176190476
Jan 2007,nominal,1,4.7034782609
Jan 2007,real,10,NA
Jan 2007,nominal,10,NA
Jan 2007,real,1,3.5586956522
Feb 2007,nominal,1,4.596
Feb 2007,real,10,NA
Feb 2007,nominal,10,5.35
Feb 2007,real,1,3.1835
Mar 2007,nominal,1,4.494
Mar 2007,real,10,NA
Mar 2007,nominal,10,5.3305
Mar 2007,real,1,2.8605
Apr 2007,nominal,1,4.073125
Apr 2007,real,10,NA
Apr 2007,nominal,10,5.068125
Apr 2007,real,1,3.503125
May 2007,nominal,1,3.7995238095
May 2007,real,10,NA
May 2007,nominal,10,4.879047619
May 2007,real,1,3.1333333333
Jun 2007,nominal,1,3.974
Jun 2007,real,10,NA
Jun 2007,nominal,10,5.371
Jun 2007,real,1,2.304
Jul 2007,nominal,1,4.1654545455
Jul 2007,real,10,NA
Jul 2007,nominal,10,5.7054545455
Jul 2007,real,1,2.2140909091
Aug 2007,nominal,1,4.7013636364
Aug 2007,real,10,NA
Aug 2007,nominal,10,6.1222727273
Aug 2007,real,1,2.4904545455
Sep 2007,nominal,1,4.8847058824
Sep 2007,real,10,NA
Sep 2007,nominal,10,NA
Sep 2007,real,1,3.0817647059
Oct 2007,nominal,1,4.6252380952
Oct 2007,real,10,NA
Oct 2007,nominal,10,NA
Oct 2007,real,1,3.229047619
Nov 2007,nominal,1,4.6385714286
Nov 2007,real,10,NA
Nov 2007,nominal,10,NA
Nov 2007,real,1,2.9528571429
Dec 2007,nominal,1,4.9422727273
Dec 2007,real,10,NA
Dec 2007,nominal,10,NA
Dec 2007,real,1,2.42
Jan 2008,nominal,1,4.9069565217
Jan 2008,real,10,3.4588235294
Jan 2008,nominal,10,NA
Jan 2008,real,1,1.7886956522
Feb 2008,nominal,1,4.461
Feb 2008,real,10,3.169
Feb 2008,nominal,10,NA
Feb 2008,real,1,1.6695
Mar 2008,nominal,1,3.8140909091
Mar 2008,real,10,3.0159090909
Mar 2008,nominal,10,NA
Mar 2008,real,1,0.8522727273
Apr 2008,nominal,1,3.7695238095
Apr 2008,real,10,3.1180952381
Apr 2008,nominal,10,NA
Apr 2008,real,1,0.6004761905
May 2008,nominal,1,4.1284210526
May 2008,real,10,3.1394736842
May 2008,nominal,10,NA
May 2008,real,1,0.57
Jun 2008,nominal,1,4.2836842105
Jun 2008,real,10,3.1068421053
Jun 2008,nominal,10,NA
Jun 2008,real,1,1.2926315789
Jul 2008,nominal,1,4.3231818182
Jul 2008,real,10,3.2136363636
Jul 2008,nominal,10,NA
Jul 2008,real,1,1.4313636364
Aug 2008,nominal,1,4.472
Aug 2008,real,10,3.23
Aug 2008,nominal,10,6.02
Aug 2008,real,1,1.8945
Sep 2008,nominal,1,4.5895
Sep 2008,real,10,3.3735
Sep 2008,nominal,10,5.9735
Sep 2008,real,1,2.0445
Oct 2008,nominal,1,3.8806666667
Oct 2008,real,10,3.9121428571
Oct 2008,nominal,10,6.1426666667
Oct 2008,real,1,2.8993333333
Nov 2008,nominal,1,3.3080952381
Nov 2008,real,10,NA
Nov 2008,nominal,10,6.3704761905
Nov 2008,real,1,3.7523809524
Dec 2008,nominal,1,2.2682608696
Dec 2008,real,10,NA
Dec 2008,nominal,10,5.2652173913
Dec 2008,real,1,3.7208695652
Jan 2009,nominal,1,1.6471428571
Jan 2009,real,10,NA
Jan 2009,nominal,10,5.060952381
Jan 2009,real,1,1.8123809524
